X0,Y0,X1,Y1
0,40.000,0.000,36.0951
1,33.346,0.529,36.4450
2,33.333,1.057,36.7942
3,33.371,1.586,37.1426
4,39.949,2.114,37.4904
5,40.063,2.643,37.8375
6,33.409,3.171,38.1839
7,39.912,3.700,38.5295
8,39.899,4.228,38.8745
9,40.000,4.757,39.2187
10,40.000,5.285,39.5623
11,40.000,5.814,39.9052
12,40.000,6.342,40.2473
13,39.836,6.871,40.5888
14,46.490,7.399,40.9295
15,40.000,7.928,41.2696
16,40.202,8.456,41.6089
17,40.215,8.985,41.9476
18,40.000,9.514,42.2855
19,40.240,10.042,42.6228
20,46.667,10.571,42.9593
21,40.000,11.099,43.2952
22,40.278,11.628,43.6303
23,46.667,12.156,43.9647
24,40.303,12.685,44.2985
25,46.667,13.213,44.6315
26,46.667,13.742,44.9638
27,46.326,14.270,45.2955
28,46.313,14.799,45.6264
29,40.366,15.327,45.9566
30,40.379,15.856,46.2861
31,40.685,16.384,46.6150
32,46.667,16.913,46.9431
33,40.417,17.441,47.2705
34,46.667,17.970,47.5972
35,46.998,18.498,47.9232
36,47.008,19.027,48.2486
37,46.667,19.556,48.5732
38,47.027,20.084,48.8971
39,51.667,20.613,49.2203
40,51.667,21.141,49.5428
41,51.667,21.670,49.8646
42,47.462,22.198,50.1857
43,47.074,22.727,50.5061
44,52.083,23.255,50.8258
45,47.519,23.784,51.1448
46,56.231,24.312,51.4631
47,51.667,24.841,51.7807
48,63.788,25.369,52.0976
49,51.667,25.898,52.4138
50,57.456,26.426,52.7292
51,56.667,26.955,53.0440
52,64.179,27.483,53.3581
53,70.997,28.012,53.6715
54,57.519,28.541,53.9842
55,56.667,29.069,54.2962
56,64.116,29.598,54.6074
57,65.000,30.126,54.9180
58,57.582,30.655,55.2279
59,72.225,31.183,55.5371
60,65.758,31.712,55.8455
61,58.400,32.240,56.1533
62,76.667,32.769,56.4604
63,72.263,33.297,56.7667
64,70.859,33.826,57.0724
65,71.667,34.354,57.3773
66,72.292,34.883,57.6816
67,76.032,35.411,57.9852
68,83.927,35.940,58.2880
69,77.756,36.468,58.5902
70,76.004,36.997,58.8916
71,72.787,37.526,59.1924
72,73.485,38.054,59.4924
73,80.691,38.583,59.7918
74,78.832,39.111,60.0904
75,73.561,39.640,60.3884
76,90.000,40.168,60.6856
77,93.542,40.697,60.9821
78,80.739,41.225,61.2780
79,84.252,41.754,61.5731
80,80.000,42.282,61.8675
81,85.767,42.811,62.1613
82,80.777,43.339,62.4543
83,84.214,43.868,62.7466
84,85.000,44.396,63.0382
85,94.195,44.925,63.3292
86,90.814,45.453,63.6194
87,112.528,45.982,63.9089
88,106.111,46.511,64.1977
89,94.214,47.039,64.4858
90,105.682,47.568,64.7733
91,99.138,48.096,65.0600
92,85.000,48.625,65.3460
93,85.000,49.153,65.6313
94,90.890,49.682,65.9159
95,119.135,50.210,66.1998
96,128.788,50.739,66.4830
97,141.020,51.267,66.7655
98,123.333,51.796,67.0473
99,104.375,52.324,67.3284
100,124.280,52.853,67.6088
101,133.652,53.381,67.8885
102,147.689,53.910,68.1675
103,133.658,54.438,68.4458
104,115.556,54.967,68.7234
105,104.640,55.495,69.0003
106,101.673,56.024,69.2764
107,106.755,56.553,69.5519
108,113.447,57.081,69.8267
109,135.742,57.610,70.1008
110,145.694,58.138,70.3742
111,121.307,58.667,70.6468
112,129.444,59.195,70.9188
113,135.960,59.724,71.1901
114,115.000,60.252,71.4607
115,127.888,60.781,71.7305
116,106.503,61.309,71.9997
117,125.947,61.838,72.2682
118,135.941,62.366,72.5359
119,146.831,62.895,72.8030
120,136.970,63.423,73.0694
121,108.611,63.952,73.3350
122,108.586,64.480,73.6000
123,98.333,65.009,73.8642
124,90.076,65.538,74.1278
125,78.728,66.066,74.3906
126,72.462,66.595,74.6528
127,100.189,67.123,74.9142
128,101.970,67.652,75.1750
129,86.335,68.180,75.4350
130,88.434,68.709,75.6943
131,93.797,69.237,75.9530
132,115.833,69.766,76.2109
133,82.481,70.294,76.4682
134,92.538,70.823,76.7247
135,103.570,71.351,76.9805
136,85.278,71.880,77.2357
137,122.153,72.408,77.4901
138,113.239,72.937,77.7438
139,90.000,73.465,77.9968
140,91.326,73.994,78.2492
141,109.545,74.523,78.5008
142,112.172,75.051,78.7517
143,90.000,75.580,79.0019
144,126.667,76.108,79.2514
145,120.786,76.637,79.5002
146,101.913,77.165,79.7484
147,99.640,77.694,79.9958
148,110.417,78.222,80.2425
149,90.347,78.751,80.4885
150,109.773,79.279,80.7338
151,88.327,79.808,80.9784
152,88.561,80.336,81.2223
153,79.517,80.865,81.4655
154,110.347,81.393,81.7080
155,115.597,81.922,81.9498
156,121.098,82.450,82.1909
157,128.469,82.979,82.4313
158,126.995,83.508,82.6710
159,138.655,84.036,82.9099
160,145.707,84.565,83.1482
161,138.617,85.093,83.3858
162,144.261,85.622,83.6227
163,149.340,86.150,83.8589
164,139.937,86.679,84.0944
165,150.312,87.207,84.3291
166,104.533,87.736,84.5632
167,155.698,88.264,84.7966
168,150.000,88.793,85.0293
169,149.132,89.321,85.2612
170,131.301,89.850,85.4925
171,131.667,90.378,85.7231
172,131.806,90.907,85.9529
173,90.376,91.435,86.1821
174,150.492,91.964,86.4105
175,154.419,92.492,86.6383
176,147.778,93.021,86.8654
177,78.324,93.550,87.0917
178,75.543,94.078,87.3174
179,140.707,94.607,87.5423
180,163.371,95.135,87.7666
181,107.472,95.664,87.9901
182,67.241,96.192,88.2130
183,76.733,96.721,88.4351
184,104.040,97.249,88.6565
185,82.434,97.778,88.8773
186,85.000,98.306,89.0973
187,81.771,98.835,89.3167
188,78.333,99.363,89.5353
189,130.644,99.892,89.7532
190,132.481,100.420,89.9705
191,77.872,100.949,90.1870
192,66.364,101.477,90.4028
193,69.391,102.006,90.6179
194,91.635,102.535,90.8324
195,78.049,103.063,91.0461
196,65.000,103.592,91.2591
197,73.359,104.120,91.4714
198,68.958,104.649,91.6830
199,83.526,105.177,91.8940
200,71.894,105.706,92.1042
201,99.669,106.234,92.3137
202,98.648,106.763,92.5225
203,104.135,107.291,92.7306
204,125.295,107.820,92.9380
205,106.827,108.348,93.1447
206,65.284,108.877,93.3507
207,151.534,109.405,93.5560
208,113.485,109.934,93.7606
209,110.854,110.462,93.9645
210,78.049,110.991,94.1677
211,65.000,111.520,94.3702
212,110.593,112.048,94.5720
213,90.407,112.577,94.7731
214,79.640,113.105,94.9734
215,74.381,113.634,95.1731
216,78.333,114.162,95.3721
