Radius_[pixels],Normalized_Integrated_Intensity,X_Fit:_Gaussian,Fit:_Gaussian
1.335,138.508,1.335,109.5314
2.67,120.5,1.629,109.6387
4.005,122.783,1.923,109.7456
5.339,118.66,2.217,109.852
6.674,115.572,2.511,109.9579
8.009,120.217,2.805,110.0634
9.344,121.883,3.099,110.1684
10.679,117.464,3.393,110.2729
12.014,113.708,3.687,110.3769
13.348,118.527,3.98,110.4804
14.683,116.559,4.274,110.5835
16.018,112.84,4.568,110.6861
17.353,115.191,4.862,110.7882
18.688,115.365,5.156,110.8898
20.023,118.085,5.45,110.991
21.357,118.431,5.744,111.0916
22.692,113.862,6.038,111.1918
24.027,116.546,6.332,111.2914
25.362,112.531,6.626,111.3906
26.697,117.437,6.92,111.4893
28.032,116.868,7.214,111.5874
29.367,113.858,7.508,111.6851
30.701,117.79,7.802,111.7823
32.036,117.855,8.096,111.8789
33.371,118.276,8.39,111.9751
34.706,119.246,8.684,112.0708
36.041,119.128,8.978,112.1659
37.376,116.379,9.272,112.2605
38.71,114.943,9.566,112.3547
40.045,117.993,9.86,112.4483
41.38,116.602,10.154,112.5414
42.715,116.01,10.448,112.6339
44.05,114.99,10.742,112.726
45.385,115.611,11.035,112.8176
46.719,116.702,11.329,112.9086
48.054,116.017,11.623,112.9991
49.389,119.109,11.917,113.089
50.724,116.19,12.211,113.1785
52.059,115.79,12.505,113.2674
53.394,116.27,12.799,113.3558
54.729,118.155,13.093,113.4436
56.063,116.846,13.387,113.5309
57.398,113.881,13.681,113.6177
58.733,114.218,13.975,113.704
60.068,112.422,14.269,113.7897
61.403,110.16,14.563,113.8749
62.738,111.871,14.857,113.9595
64.072,111.262,15.151,114.0436
65.407,111.945,15.445,114.1271
66.742,109.485,15.739,114.2101
68.077,110.445,16.033,114.2926
69.412,110.538,16.327,114.3745
70.747,108.017,16.621,114.4558
72.081,108.812,16.915,114.5366
73.416,110.545,17.209,114.6169
74.751,108.2,17.503,114.6966
76.086,110.093,17.797,114.7757
77.421,108.515,18.091,114.8543
78.756,106.58,18.384,114.9323
80.09,108.263,18.678,115.0098
81.425,106.721,18.972,115.0867
82.76,107.931,19.266,115.163
84.095,108.466,19.56,115.2388
85.43,109.764,19.854,115.314
86.765,110.26,20.148,115.3886
88.1,109.586,20.442,115.4627
89.434,110.961,20.736,115.5362
90.769,109.933,21.03,115.6091
92.104,110.035,21.324,115.6815
93.439,110.454,21.618,115.7532
94.774,111.425,21.912,115.8244
96.109,111.18,22.206,115.8951
97.443,112.659,22.5,115.9651
98.778,112.859,22.794,116.0346
100.113,112.134,23.088,116.1035
101.448,111.456,23.382,116.1718
102.783,112.286,23.676,116.2395
104.118,114.336,23.97,116.3067
105.452,112.886,24.264,116.3733
106.787,113.433,24.558,116.4392
108.122,115.646,24.852,116.5046
109.457,115.808,25.146,116.5694
110.792,115.942,25.439,116.6336
112.127,116.768,25.733,116.6972
113.462,116.286,26.027,116.7603
114.796,115.373,26.321,116.8227
116.131,115.53,26.615,116.8845
117.466,114.5,26.909,116.9457
118.801,114.802,27.203,117.0064
120.136,115.025,27.497,117.0664
121.471,114.058,27.791,117.1259
122.805,114.655,28.085,117.1847
124.14,112.854,28.379,117.243
125.475,111.396,28.673,117.3006
126.81,111.187,28.967,117.3576
128.145,111.162,29.261,117.4141
129.48,111.511,29.555,117.4699
130.814,110.705,29.849,117.5251
132.149,111.621,30.143,117.5797
133.484,111.145,30.437,117.6337
134.819,109.574,30.731,117.6871
136.154,108.775,31.025,117.7399
137.489,109.368,31.319,117.7921
138.824,109.209,31.613,117.8436
140.158,106.034,31.907,117.8945
141.493,103.963,32.201,117.9449
142.828,102.23,32.495,117.9946
144.163,102.048,32.788,118.0437
145.498,100.232,33.082,118.0922
146.833,99.606,33.376,118.14
148.167,99.866,33.67,118.1872
149.502,100.369,33.964,118.2339
150.837,97.849,34.258,118.2799
152.172,94.924,34.552,118.3252
153.507,93.104,34.846,118.37
154.842,92.213,35.14,118.4141
156.176,92.26,35.434,118.4576
157.511,92.043,35.728,118.5005
158.846,89.792,36.022,118.5428
160.181,88.743,36.316,118.5844
161.516,87.519,36.61,118.6254
162.851,86.231,36.904,118.6658
164.186,85.323,37.198,118.7055
165.52,84.118,37.492,118.7446
166.855,83.036,37.786,118.7831
168.19,82.319,38.08,118.8209
169.525,80.336,38.374,118.8582
170.86,78.861,38.668,118.8947
172.195,77.823,38.962,118.9307
173.529,76.662,39.256,118.966
174.864,75.169,39.55,119.0007
176.199,74.352,39.843,119.0347
177.534,74.39,40.137,119.0681
178.869,73.753,40.431,119.1009
180.204,73.046,40.725,119.1331
181.538,72.287,41.019,119.1646
182.873,70.673,41.313,119.1954
184.208,68.849,41.607,119.2256
185.543,67.715,41.901,119.2552
186.878,66.863,42.195,119.2842
188.213,66.524,42.489,119.3125
189.548,65.994,42.783,119.3401
190.882,64.935,43.077,119.3671
192.217,63.45,43.371,119.3935
193.552,62.624,43.665,119.4193
194.887,61.464,43.959,119.4443
196.222,60.826,44.253,119.4688
