Radius_[pixels],Normalized_Integrated_Intensity,X_Fit:_Gaussian,Fit:_Gaussian
1.335,106.4921,1.335,96.9674
2.670,95.6310,1.629,97.0073
4.005,96.2833,1.923,97.0467
5.339,100.7292,2.217,97.0854
6.674,95.5778,2.511,97.1236
8.009,95.1292,2.805,97.1613
9.344,97.9583,3.099,97.1984
10.679,101.4762,3.393,97.2349
12.014,104.0083,3.687,97.2708
13.348,103.8810,3.980,97.3062
14.683,106.8199,4.274,97.3410
16.018,105.5066,4.568,97.3752
17.353,97.1754,4.862,97.4088
18.688,97.8355,5.156,97.4419
20.023,96.7329,5.450,97.4744
21.357,95.9058,5.744,97.5063
22.692,97.7283,6.038,97.5377
24.027,95.2961,6.332,97.5685
25.362,94.7346,6.626,97.5986
26.697,90.9854,6.920,97.6283
28.032,96.6069,7.214,97.6573
29.367,95.7878,7.508,97.6857
30.701,95.0050,7.802,97.7136
32.036,96.5343,8.096,97.7409
33.371,101.0098,8.390,97.7676
34.706,96.4836,8.684,97.7937
36.041,97.1359,8.978,97.8193
37.376,97.9081,9.272,97.8442
38.710,96.9438,9.566,97.8686
40.045,99.0174,9.860,97.8924
41.380,98.2351,10.154,97.9156
42.715,99.7741,10.448,97.9382
44.050,97.1498,10.742,97.9602
45.385,96.6737,11.035,97.9816
46.719,97.0945,11.329,98.0025
48.054,95.6797,11.623,98.0227
49.389,93.1588,11.917,98.0424
50.724,93.4878,12.211,98.0614
52.059,90.5469,12.505,98.0799
53.394,91.5260,12.799,98.0978
54.729,91.4724,13.093,98.1151
56.063,91.5136,13.387,98.1318
57.398,90.6173,13.681,98.1479
58.733,87.5331,13.975,98.1634
60.068,90.8346,14.269,98.1783
61.403,88.8354,14.563,98.1926
62.738,90.2373,14.857,98.2064
64.072,92.7512,15.151,98.2195
65.407,94.3582,15.445,98.2320
66.742,95.0053,15.739,98.2440
68.077,92.9890,16.033,98.2553
69.412,91.7435,16.327,98.2660
70.747,90.8244,16.621,98.2762
72.081,88.5243,16.915,98.2857
73.416,88.3257,17.209,98.2947
74.751,86.7050,17.503,98.3030
76.086,82.7742,17.797,98.3108
77.421,85.1039,18.091,98.3179
78.756,83.9225,18.384,98.3245
80.090,83.8246,18.678,98.3305
81.425,83.0569,18.972,98.3358
82.760,80.9099,19.266,98.3406
84.095,80.6987,19.560,98.3447
85.430,78.8760,19.854,98.3483
86.765,79.2513,20.148,98.3512
88.100,82.9968,20.442,98.3536
89.434,81.9292,20.736,98.3554
90.769,86.3499,21.030,98.3565
92.104,86.5517,21.324,98.3571
93.439,86.4964,21.618,98.3570
94.774,86.2603,21.912,98.3564
96.109,87.2475,22.206,98.3552
97.443,85.4628,22.500,98.3533
98.778,84.7751,22.794,98.3509
100.113,82.5444,23.088,98.3478
101.448,82.1234,23.382,98.3442
102.783,80.7478,23.676,98.3400
104.118,79.8015,23.970,98.3351
105.452,79.9132,24.264,98.3297
106.787,79.2786,24.558,98.3237
108.122,79.0794,24.852,98.3170
109.457,79.1538,25.146,98.3098
110.792,77.4486,25.439,98.3019
112.127,77.2941,25.733,98.2935
113.462,75.6745,26.027,98.2845
114.796,74.6506,26.321,98.2749
