Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,34.333,0.000,21.2019
1,35.777,0.600,21.5065
2,37.142,1.199,21.8111
3,36.806,1.799,22.1157
4,36.558,2.398,22.4202
5,36.667,2.998,22.7246
6,36.758,3.598,23.0289
7,36.060,4.197,23.3332
8,36.229,4.797,23.6374
9,36.000,5.396,23.9416
10,36.030,5.996,24.2457
11,35.452,6.596,24.5497
12,35.656,7.195,24.8536
13,37.966,7.795,25.1575
14,39.241,8.394,25.4612
15,37.246,8.994,25.7649
16,35.775,9.594,26.0685
17,35.871,10.193,26.3720
18,37.349,10.793,26.6755
19,37.751,11.392,26.9788
20,39.195,11.992,27.2820
21,40.062,12.592,27.5852
22,35.843,13.191,27.8882
23,35.637,13.791,28.1911
24,37.268,14.390,28.4940
25,39.028,14.990,28.7967
26,40.161,15.590,29.0993
27,39.224,16.189,29.4018
28,39.933,16.789,29.7042
29,40.641,17.388,30.0065
30,41.306,17.988,30.3087
31,43.780,18.588,30.6107
32,39.882,19.187,30.9126
33,40.089,19.787,31.2144
34,40.925,20.386,31.5161
35,40.182,20.986,31.8176
36,42.218,21.586,32.1190
37,43.008,22.185,32.4203
38,43.886,22.785,32.7214
39,42.351,23.384,33.0224
40,42.467,23.984,33.3233
41,42.960,24.584,33.6240
42,43.499,25.183,33.9245
43,43.260,25.783,34.2249
44,42.912,26.382,34.5252
45,42.671,26.982,34.8253
46,43.278,27.582,35.1253
47,43.169,28.181,35.4250
48,41.659,28.781,35.7247
49,43.334,29.380,36.0242
50,42.660,29.980,36.3235
51,43.876,30.580,36.6226
52,44.553,31.179,36.9216
53,43.037,31.779,37.2204
54,45.439,32.378,37.5190
55,40.968,32.978,37.8174
56,39.673,33.578,38.1157
57,43.232,34.177,38.4138
58,44.568,34.777,38.7117
59,45.238,35.376,39.0094
60,49.016,35.976,39.3069
61,45.311,36.576,39.6042
62,45.105,37.175,39.9014
63,47.958,37.775,40.1983
64,44.888,38.374,40.4951
65,45.796,38.974,40.7916
66,45.274,39.574,41.0880
67,45.470,40.173,41.3841
68,49.884,40.773,41.6800
69,45.307,41.372,41.9757
70,46.548,41.972,42.2712
71,49.562,42.572,42.5665
72,50.373,43.171,42.8616
73,48.322,43.771,43.1564
74,46.387,44.370,43.4510
75,50.048,44.970,43.7455
76,49.279,45.570,44.0396
77,45.273,46.169,44.3336
78,46.428,46.769,44.6273
79,46.938,47.368,44.9207
80,53.067,47.968,45.2140
81,50.090,48.568,45.5070
82,52.252,49.167,45.7997
83,55.114,49.767,46.0923
84,52.947,50.366,46.3845
85,50.505,50.966,46.6765
86,63.211,51.566,46.9683
87,57.478,52.165,47.2598
88,54.018,52.765,47.5510
89,53.033,53.364,47.8420
90,56.936,53.964,48.1328
91,55.539,54.564,48.4232
92,55.181,55.163,48.7134
93,56.650,55.763,49.0034
94,56.239,56.362,49.2930
95,55.840,56.962,49.5824
96,54.876,57.562,49.8715
97,60.846,58.161,50.1604
98,62.014,58.761,50.4489
99,56.006,59.360,50.7372
100,53.201,59.960,51.0252
101,52.043,60.560,51.3128
102,54.968,61.159,51.6002
103,58.872,61.759,51.8874
104,59.966,62.358,52.1742
105,64.290,62.958,52.4607
106,69.543,63.558,52.7469
107,62.913,64.157,53.0328
108,66.194,64.757,53.3184
109,70.603,65.356,53.6037
110,74.551,65.956,53.8887
111,72.293,66.556,54.1734
112,71.790,67.155,54.4577
113,69.657,67.755,54.7417
114,68.580,68.354,55.0255
115,69.204,68.954,55.3089
116,59.999,69.554,55.5919
117,66.989,70.153,55.8747
118,74.835,70.753,56.1571
119,74.510,71.352,56.4392
120,67.569,71.952,56.7209
121,65.211,72.552,57.0023
122,53.861,73.151,57.2834
123,56.417,73.751,57.5641
124,55.988,74.350,57.8445
125,58.503,74.950,58.1245
126,58.695,75.550,58.4042
127,66.099,76.149,58.6836
128,67.154,76.749,58.9625
129,76.205,77.348,59.2412
130,62.916,77.948,59.5194
131,75.280,78.548,59.7973
132,73.099,79.147,60.0748
133,79.969,79.747,60.3520
134,92.673,80.346,60.6288
135,83.766,80.946,60.9052
136,82.136,81.546,61.1813
137,92.520,82.145,61.4570
138,79.905,82.745,61.7323
139,81.867,83.344,62.0072
140,81.737,83.944,62.2817
141,78.221,84.544,62.5559
142,83.278,85.143,62.8296
143,103.749,85.743,63.1030
144,93.507,86.342,63.3760
145,102.383,86.942,63.6485
146,111.586,87.542,63.9207
147,121.604,88.141,64.1925
148,123.341,88.741,64.4639
149,138.783,89.340,64.7348
150,130.236,89.940,65.0054
151,113.632,90.540,65.2755
152,117.886,91.139,65.5453
153,115.572,91.739,65.8146
154,101.090,92.338,66.0835
155,96.845,92.938,66.3520
156,96.935,93.538,66.6200
157,93.019,94.137,66.8877
158,91.145,94.737,67.1549
159,86.955,95.336,67.4217
160,111.673,95.936,67.6880
161,108.866,96.536,67.9539
162,98.980,97.135,68.2194
163,99.667,97.735,68.4844
164,118.532,98.334,68.7490
165,121.234,98.934,69.0132
166,123.845,99.534,69.2769
167,119.089,100.133,69.5401
168,118.787,100.733,69.8029
169,134.443,101.332,70.0653
170,135.021,101.932,70.3271
171,139.517,102.532,70.5886
172,128.811,103.131,70.8495
173,127.273,103.731,71.1101
174,121.930,104.330,71.3701
175,106.776,104.930,71.6297
176,119.677,105.530,71.8888
177,129.547,106.129,72.1474
178,117.239,106.729,72.4055
179,111.334,107.328,72.6632
180,104.269,107.928,72.9204
181,97.800,108.528,73.1771
182,115.296,109.127,73.4333
183,105.102,109.727,73.6891
184,119.391,110.326,73.9443
185,134.093,110.926,74.1991
186,123.994,111.526,74.4534
187,104.207,112.125,74.7071
188,104.343,112.725,74.9604
189,115.696,113.324,75.2132
190,119.104,113.924,75.4654
191,88.448,114.524,75.7172
192,81.747,115.123,75.9684
193,112.723,115.723,76.2191
194,114.731,116.322,76.4694
195,79.158,116.922,76.7191
196,71.547,117.522,76.9683
197,115.964,118.121,77.2169
198,105.699,118.721,77.4651
199,101.055,119.320,77.7127
200,116.397,119.920,77.9598
201,111.445,120.520,78.2063
202,120.839,121.119,78.4524
203,128.786,121.719,78.6979
204,124.207,122.318,78.9428
205,120.343,122.918,79.1873
206,120.625,123.518,79.4311
207,129.273,124.117,79.6745
208,96.453,124.717,79.9173
209,100.989,125.316,80.1595
210,137.339,125.916,80.4012
211,117.980,126.516,80.6424
212,76.923,127.115,80.8829
213,76.457,127.715,81.1230
214,109.064,128.314,81.3624
215,115.356,128.914,81.6013
216,91.687,129.514,81.8397
217,101.935,130.113,82.0775
218,108.648,130.713,82.3147
219,121.388,131.312,82.5513
220,124.012,131.912,82.7874
221,121.918,132.512,83.0229
222,105.008,133.111,83.2578
223,75.190,133.711,83.4921
224,72.434,134.310,83.7259
225,84.673,134.910,83.9590
226,119.720,135.510,84.1916
227,132.785,136.109,84.4236
228,137.816,136.709,84.6550
229,98.682,137.308,84.8858
230,102.305,137.908,85.1161
231,100.234,138.508,85.3457
232,123.434,139.107,85.5747
233,70.776,139.707,85.8031
234,77.384,140.306,86.0309
235,116.606,140.906,86.2581
236,125.981,141.506,86.4847
237,91.602,142.105,86.7107
238,72.336,142.705,86.9361
239,99.631,143.304,87.1608
240,94.605,143.904,87.3850
241,96.758,144.504,87.6085
242,100.074,145.103,87.8314
243,76.361,145.703,88.0536
244,114.920,146.302,88.2753
245,86.698,146.902,88.4963
246,79.432,147.501,88.7167
247,91.439,148.101,88.9365
248,110.325,148.701,89.1556
249,161.996,149.300,89.3741
250,150.400,149.900,89.5919
251,121.944,150.499,89.8091
252,143.077,151.099,90.0257
253,152.214,151.699,90.2416
254,102.188,152.298,90.4569
255,87.302,152.898,90.6715
256,112.163,153.497,90.8855
257,102.522,154.097,91.0988
258,86.820,154.697,91.3115
259,106.484,155.296,91.5235
260,73.709,155.896,91.7348
261,92.794,156.495,91.9455
262,121.967,157.095,92.1555
263,145.012,157.695,92.3649
264,136.053,158.294,92.5736
265,148.903,158.894,92.7816
266,121.697,159.493,92.9890
267,108.737,160.093,93.1956
268,144.136,160.693,93.4016
269,164.584,161.292,93.6069
270,142.377,161.892,93.8116
271,131.680,162.491,94.0155
272,117.168,163.091,94.2188
273,100.889,163.691,94.4214
274,95.378,164.290,94.6233
275,136.410,164.890,94.8245
276,123.787,165.489,95.0250
277,116.464,166.089,95.2248
