Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,31.333,0.000,31.7089
1,30.762,0.601,31.7384
2,32.357,1.201,31.7683
3,35.368,1.802,31.7985
4,32.842,2.402,31.8291
5,35.032,3.003,31.8600
6,34.917,3.604,31.8914
7,34.448,4.204,31.9231
8,30.800,4.805,31.9552
9,31.969,5.405,31.9876
10,32.683,6.006,32.0205
11,33.291,6.607,32.0537
12,36.520,7.207,32.0874
13,34.157,7.808,32.1214
14,32.885,8.408,32.1558
15,33.800,9.009,32.1907
16,32.924,9.610,32.2259
17,33.471,10.210,32.2616
18,32.873,10.811,32.2977
19,29.169,11.411,32.3342
20,29.200,12.012,32.3711
21,30.757,12.613,32.4084
22,32.192,13.213,32.4462
23,27.202,13.814,32.4844
24,45.989,14.414,32.5231
25,60.576,15.015,32.5621
26,32.397,15.616,32.6017
27,48.074,16.216,32.6417
28,33.473,16.817,32.6821
29,31.647,17.417,32.7230
30,38.967,18.018,32.7643
31,31.493,18.619,32.8061
32,33.456,19.219,32.8484
33,35.590,19.820,32.8912
34,37.872,20.420,32.9344
35,36.912,21.021,32.9781
36,31.752,21.622,33.0223
37,30.248,22.222,33.0670
38,30.591,22.823,33.1121
39,31.914,23.423,33.1578
40,36.756,24.024,33.2039
41,70.047,24.625,33.2506
42,37.313,25.225,33.2978
43,30.927,25.826,33.3454
44,32.917,26.426,33.3936
45,31.808,27.027,33.4423
46,33.910,27.628,33.4916
47,34.192,28.228,33.5413
48,40.661,28.829,33.5916
49,35.595,29.429,33.6424
50,36.222,30.030,33.6938
51,39.204,30.631,33.7457
52,36.557,31.231,33.7981
53,38.672,31.832,33.8511
54,38.913,32.432,33.9047
55,39.042,33.033,33.9588
56,38.720,33.634,34.0134
57,39.677,34.234,34.0686
58,35.236,34.835,34.1245
59,36.756,35.435,34.1808
60,38.733,36.036,34.2378
61,34.512,36.637,34.2953
62,34.552,37.237,34.3534
63,35.000,37.838,34.4121
