Wavelength,Intensity
155.04,2688.25
155.43,2749.88
155.82,2660.75
156.21,2633
156.6,2682.75
156.99,2742.12
157.38,2683.75
157.769,2745.5
158.159,2685.38
158.549,2787.75
158.938,2790.38
159.328,2830
159.718,2727.62
160.107,2811.75
160.497,2683.25
160.886,2730.75
161.276,2715.38
161.665,2759.5
162.054,2697.62
162.444,2759.5
162.833,2692.38
163.222,2750.38
163.611,2688.62
164.001,2747.25
164.39,2689.75
164.779,2748.75
165.168,2687.5
165.557,2743.88
165.946,2687
166.335,2733.88
166.724,2698.25
167.113,2752
167.502,2690.25
167.89,2745.12
168.279,2740.25
168.668,2744.62
169.057,2695.5
169.445,2755.25
169.834,2692.88
170.223,2749.38
170.611,2689.5
171,2748.75
171.388,2694
171.777,2742.38
172.165,2692.5
172.554,2749.38
172.942,2692.38
173.33,2754.25
173.719,2696.75
174.107,2753.62
174.495,2689.12
174.883,2754.38
175.271,2690
175.659,2744.88
176.047,2679.88
176.435,2746.62
176.823,2682.62
177.211,2771.38
177.599,2783.75
177.987,2820.88
178.375,2741.75
178.763,2753.75
179.151,2663.5
179.538,2745.12
179.926,2710.38
180.314,2754.75
180.701,2695
181.089,2749.38
181.476,2689.75
181.864,2749
182.251,2685.88
182.639,2743.38
183.026,2683.75
183.414,2734.88
183.801,2692.88
184.188,2754.25
184.576,2688.75
184.963,2739.25
185.35,2685.38
185.737,2747.38
186.124,2690.25
186.511,2765.75
186.898,2709.88
187.285,2735.88
187.672,2694.5
188.059,2734.75
188.446,2688
188.833,2745
189.22,2686.12
189.607,2739
189.993,2845.25
190.38,2915.12
190.767,2767
191.153,2925.88
191.54,2826.62
191.926,2923.88
192.313,2793.62
192.699,2895.5
193.086,2823
193.472,2867.62
193.859,2795.75
194.245,2917.88
194.631,2836.75
195.018,2926.75
195.404,2796.88
195.79,2900.38
196.176,2818.88
196.562,2953.62
196.948,2818.12
197.334,2947.5
197.72,2806.88
198.106,2929.12
198.492,2899.25
198.878,2897.75
199.264,2870
199.65,2978.12
200.036,2848.75
200.421,2987.62
200.807,2889.62
201.193,2939.62
201.578,2880.5
201.964,2938.25
202.35,2851.38
202.735,2918.38
203.121,2886.88
203.506,2970.25
203.891,2874.12
204.277,2983
204.662,2836.75
205.047,2981.75
205.433,2833.12
205.818,2945.62
206.203,2852.75
206.588,2941
206.973,2876.88
207.358,2993.75
207.743,2911.12
208.128,2929
208.513,2865.38
208.898,2935.12
209.283,2910.38
209.668,2941.88
210.053,2878.88
210.438,3008.5
210.822,2911.5
211.207,3014
211.592,2916.25
211.976,2962.75
212.361,2951.88
212.745,2967.25
213.13,2956.88
213.514,2968
213.899,2903.5
214.283,2981.38
214.668,2865.62
215.052,2931.38
215.436,2924.88
215.82,3007.25
216.205,2921
216.589,2992.5
216.973,2931.5
217.357,2947.25
217.741,2877.25
218.125,3051.62
218.509,2928.38
218.893,2946
219.277,2914.12
219.661,3002.62
220.045,2943.62
220.429,2932.12
220.812,2911.38
221.196,3010.25
221.58,2900.25
221.963,3020.38
222.347,2911.88
222.73,3035.12
223.114,2959.12
223.498,3008.5
223.881,2927.38
224.264,3054.38
224.648,2948.62
225.031,3020.38
225.414,3008.75
225.798,2999.5
226.181,2933.88
226.564,3037.88
226.947,2955.75
227.33,3027.12
227.713,2952.62
228.096,2999
228.479,2948.25
228.862,3055.38
229.245,2951.62
229.628,3006.5
230.011,2939.12
230.394,3068.88
230.777,2948.88
231.159,3044.12
231.542,2968.62
231.925,3057
232.307,2947.75
232.69,3033.75
233.072,2978.75
233.455,3036.5
233.837,2964.38
234.22,3072.5
234.602,2940.88
234.985,3070.38
235.367,2988.38
235.749,3091.75
236.131,2947.12
236.514,3091.12
236.896,2971.88
237.278,3090.25
237.66,3028.88
238.042,3079
238.424,2969.62
238.806,3112.75
239.188,2991.12
239.57,3027.38
239.952,2977.25
240.334,3067.75
240.715,3028.25
241.097,3121.5
241.479,2990.38
241.86,3091.25
242.242,3022.38
242.624,3038
243.005,3012.38
243.387,3168.62
243.768,2989.88
244.15,3073.75
244.531,3018.25
244.912,3106.12
245.294,3096.62
245.675,3074.62
246.056,3095.62
246.437,3159.62
246.819,3042
247.2,3064
247.581,3047.88
247.962,3191
248.343,3041.75
248.724,3115.25
249.105,3096
249.486,3122.75
249.866,3097
250.247,3139.12
250.628,3090.75
251.009,3143.62
251.389,3062.25
251.77,3163.62
252.151,3081.12
252.531,3160.12
252.912,3086.88
253.292,3127.88
253.673,3062.25
254.053,3127.38
254.434,3046.38
254.814,3179.62
255.194,3077.5
255.575,3082.62
255.955,3002.12
256.335,3207.88
256.715,3060
257.095,3134.5
257.475,3071.5
257.855,3149.88
258.235,3116.88
258.615,3146.88
258.995,3115.75
259.375,3132.88
259.755,3087.5
260.135,3156.5
260.515,3107.88
260.894,3179.75
261.274,3105.75
261.654,3235.75
262.033,3140.75
262.413,3256
262.792,3092.25
263.172,3226.25
263.551,3106
263.931,3181.88
264.31,3112.88
264.689,3161
265.069,3137.25
265.448,3154.12
265.827,3138.25
266.206,3241.5
266.586,3169.12
266.965,3221.38
267.344,3121.25
267.723,3208.62
268.102,3136.75
268.481,3164.38
268.86,3145.75
269.238,3203.88
269.617,3169.62
269.996,3219.12
270.375,3144
270.754,3251.88
271.132,3127.12
271.511,3243.38
271.889,3204.38
272.268,3210.75
272.646,3180.88
273.025,3249.12
273.403,3203.88
273.782,3216.62
274.16,3236.38
274.538,3262.38
274.917,3144
275.295,3265.25
275.673,3154.12
276.051,3258.38
276.429,3214.88
276.808,3262.38
277.186,3186.88
277.564,3252.12
277.942,3229.88
278.319,3277
278.697,3210.12
279.075,3292.5
279.453,3247.5
279.831,3277
280.208,3205
280.586,3292.38
280.964,3228.38
281.341,3306.12
281.719,3233
282.097,3301.38
282.474,3226.75
282.851,3276.12
283.229,3278.88
283.606,3271.5
283.984,3289.62
284.361,3247.5
284.738,3275.75
285.115,3314
285.492,3216.75
285.87,3365.88
286.247,3256.62
286.624,3297.5
287.001,3259.62
287.378,3339.38
287.755,3281.62
288.132,3330.75
288.508,3280.75
288.885,3454.12
289.262,3296
